topic_id,keywords
0,"reef, reefs, harbor, guardians, patrol, mako, guardian, nemo, ecovigil, permit"
1,"harbor, operational, crew, miesels, crews, remora, vessel, miesel, delta3, operation"
2,"harbor, himark, reef, sailors, remora, oceanus, vessel, seawatch, docking, berth"
3,"reef, harbor, underwater, plans, meeting, lookout, miesels, construction, miesel, planning"
4,"harbor, environmental, permits, vessels, surveillance, conservation, equipment, exposing, documenting, security"
5,"funding, council, councils, middleman, financial, meeting, reef, plans, mrs, accountant"
6,"birdwatching, lookout, reef, binoculars, dolphins, boats, shearwaters, spotted, drones, near"
7,"neptunes, neptune, reef, sentinel, observing, containers, horizon, guardian, vessel, container"
8,"reef, harbor, permit, paackland, approved, approval, nemo, vessel, clearance, nr1045"
9,"osprey, bay, harbor, cove, mako, scenic, tourists, tour, rendezvous, available"
10,"reef, transponder, sentinel, sightings, tracked, mako, harbor, marine, southeast, signal"
11,"neptune, mako, transfer, reef, delivered, remora, tomorrow, asap, payment, 0500"
12,"reef, coral, coastal, cove, marine, diving, nautical, serenity, dolphin, nearby"
13,"ecovigil, rov, quadrant, southwest, north, northern, delayed, clearance, overnight, western"
